,group,0,1
0,5,-22.14064217,-9.39564991
1,6,-0.86023736,-1.591231346
2,7,19.41854286,37.99830627
3,5,-16.2082634,11.5681572
6,1,-18.10839844,14.07201576
7,1,-14.25908566,18.69206047
8,5,-44.20580292,-9.291826248
9,9,17.90132904,-34.61411667
10,9,14.72672367,-28.78106117
11,2,9.621250153,7.332758427
12,0,4.27499485,27.01835823
13,3,42.79285431,10.45541573
14,9,29.10715866,-31.2123127
16,0,5.825505733,15.20945454
17,4,1.903448224,-25.46567345
18,7,6.101465225,0.858605921
19,9,17.04265594,-10.61496067
20,7,20.42836952,20.52334785
22,4,5.340255737,-28.4195137
23,3,32.51447678,8.618299484
24,7,11.48898602,16.8414669
25,6,-6.080218315,-8.416143417
26,4,-5.550476551,-19.24080086
28,8,-11.4007082,7.771663666
29,9,21.64130974,-23.03081894
32,1,-6.15185833,28.90595245
33,9,8.51683712,-29.30460739
34,5,-40.38175201,-5.601293087
35,6,-13.83348942,-7.197533607
36,1,-16.56813812,15.49522495
37,0,-3.826054811,33.69363403
38,5,-23.52688026,-11.71246624
39,1,-10.24407768,33.92565918
42,1,-6.317809105,19.3748188
43,3,40.33904266,1.843972087
44,8,-29.96058655,20.98598099
45,9,15.80292702,-24.51765442
46,9,-0.730475008,-14.08031845
47,9,23.53886032,-39.69208527
49,8,-11.08419132,13.3507843
50,9,12.68959999,-32.78145981
51,7,21.42204094,38.79420471
53,3,5.338128567,8.69276619
54,8,-41.79111862,21.23594666
55,9,15.59669495,-35.17363358
57,1,-16.69929886,34.78779602
58,1,-16.88241577,36.29101181
59,2,26.38879967,-3.428917646
60,1,-14.20416069,42.14447784
61,5,-0.769173324,-6.967328548
62,3,14.27286243,-6.152442455
63,5,-18.73519897,9.35218811
64,6,-23.30659485,-16.2649498
65,9,22.71248436,-30.08807564
66,2,30.59387207,-11.58186817
67,0,3.389456034,32.83255768
68,0,7.863306999,39.77000809
69,5,0.297858089,-9.216406822
70,6,-13.22402382,-9.027919769
71,3,34.2694397,9.44137764
72,0,-0.374752551,46.91679382
73,0,1.264479876,24.55706978
74,1,-19.21823311,27.4423027
76,9,11.68572521,-31.70903206
77,6,-22.92489433,-18.32095718
78,8,-20.4791069,4.912075996
79,2,25.07257843,-3.301843405
80,0,4.000700474,38.72237396
82,4,-3.25325942,-42.75972366
83,7,4.79156971,22.57399178
85,1,-9.808523178,29.20395851
86,3,39.48662949,11.10202599
87,3,30.16712952,12.62224197
88,2,34.28648758,-22.00247192
89,3,8.16437912,12.04194736
90,1,-24.06715965,14.54209805
91,8,-32.75231934,18.55550385
92,3,33.08734512,15.63224697
93,7,25.7620697,17.48817253
94,7,37.46004105,31.45891571
95,1,3.27508688,8.42027092
96,1,-14.26195145,36.74449921
97,1,4.810115814,10.05486584
100,1,-15.69039059,32.29084778
101,2,26.27190781,-10.85341644
103,2,26.28926277,-23.31391907
105,0,9.922816277,25.68404961
106,9,20.28823471,-31.32363892
107,1,-13.82854557,26.72019577
108,3,29.85072136,-0.054474909
109,7,32.55600357,20.05445862
110,1,-18.31387329,11.72510147
111,8,-46.01646805,8.068807602
112,8,-28.74400711,3.207800865
113,2,20.68117523,-15.29771423
115,2,10.43919086,-2.999279499
116,9,0.151853338,-14.62444878
117,1,-18.8628521,24.69902229
118,6,-15.55124569,-17.71303749
120,9,21.3421936,-31.06418037
122,4,-0.595354617,-27.74403
123,9,8.548502922,-29.91492271
124,3,12.42051411,-4.109384537
125,9,10.55940914,-23.83117867
126,7,24.65625381,34.02878189
127,7,28.94320869,26.85288811
128,9,15.45858383,-30.81311607
129,8,-10.59644127,0.329128563
130,6,-24.47163391,-33.61878204
132,8,-27.63115883,2.308765173
133,7,1.133340001,2.304742098
137,8,-28.52457047,5.640123367
138,9,9.647253036,-13.22168446
139,3,39.60786057,15.97029305
140,0,-3.215254545,39.18040085
141,2,-1.394143224,-2.891476154
142,7,33.36525726,24.3385334
143,3,34.93186569,5.273376465
144,1,-18.79085541,41.47851181
145,3,44.20589066,9.837199211
147,3,35.01251221,14.98981476
148,8,-12.02681541,12.28136253
150,9,20.35319901,-36.37423706
151,3,45.30282593,-1.100951672
155,2,41.03829956,-7.505594254
156,4,-9.387147903,-18.41759682
157,8,-30.81680489,22.54013824
158,1,-9.051063538,21.65911865
159,0,-4.082164288,15.84488201
161,5,-42.706604,-8.970179558
162,0,-0.257426947,47.01861191
163,8,-16.60676003,-0.436819702
165,1,-13.49587631,24.85598564
166,4,8.027541161,-19.83732033
167,3,28.95693016,9.946803093
169,0,8.640100479,30.36102295
170,4,-1.700931072,-36.60666656
171,8,-12.93590546,-3.124182463
172,0,-1.357640982,27.81705284
173,0,-2.294336319,36.17183685
174,0,-6.774713993,41.35776901
175,7,31.66142082,17.95878029
176,1,-19.14292145,17.0480442
177,9,6.762919426,-13.59636307
179,3,26.62784195,-0.267217398
181,4,-4.93834734,-32.69489288
182,7,14.54818439,11.93013668
183,7,25.47131729,24.75340652
184,7,16.8006134,9.023933411
186,6,-16.09545517,-10.58099365
187,3,20.72672844,-4.032986164
188,9,21.49843788,-22.13738441
189,3,13.21057892,6.93596077
190,1,-18.21855354,12.3896265
191,1,-10.58766842,15.11989403
192,9,13.07462978,-32.10510254
193,6,-14.6652956,-15.1786623
194,9,18.4757843,-21.55177498
196,3,31.53422165,2.049144983
