,0,1,2,3,4,5
0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,100.0,100.0,100.0,99.0
3,99.0,100.0,99.0,100.0,99.0,100.0
4,100.0,100.0,100.0,100.0,100.0,100.0
5,100.0,100.0,99.0,100.0,100.0,100.0
6,100.0,99.0,100.0,100.0,99.0,100.0
7,100.0,99.0,100.0,98.0,99.0,99.0
8,99.0,100.0,100.0,100.0,100.0,100.0
9,100.0,100.0,100.0,100.0,100.0,100.0
10,99.0,99.0,100.0,100.0,100.0,100.0
11,100.0,99.0,98.0,100.0,100.0,100.0
12,100.0,100.0,99.0,100.0,99.0,100.0
13,97.0,100.0,99.0,99.0,100.0,100.0
14,99.0,98.0,99.0,100.0,100.0,100.0
15,95.0,96.0,99.0,100.0,100.0,100.0
16,97.0,98.0,93.0,96.0,99.0,99.0
17,95.0,98.0,94.0,100.0,100.0,99.0
18,92.0,98.0,97.0,100.0,99.0,100.0
19,96.0,91.0,92.0,96.0,99.0,99.0
20,90.0,90.0,89.0,93.0,99.0,100.0
21,90.0,81.0,88.0,97.0,99.0,100.0
22,86.0,75.0,88.0,95.0,100.0,100.0
23,79.0,78.0,82.0,96.0,100.0,100.0
24,83.0,73.0,73.0,91.0,99.0,100.0
25,70.0,78.0,77.0,93.0,100.0,99.0
26,73.0,75.0,72.0,91.0,100.0,100.0
27,74.0,74.0,65.0,95.0,100.0,100.0
28,61.0,65.0,61.0,88.0,100.0,100.0
29,56.0,64.0,69.0,88.0,100.0,99.0
30,55.0,56.0,65.0,89.0,99.0,100.0
31,54.0,52.0,61.0,89.0,100.0,100.0
32,53.0,50.0,53.0,83.0,100.0,99.0
33,46.0,44.0,45.0,74.0,99.0,100.0
34,45.0,44.0,50.0,81.0,100.0,99.0
35,41.0,45.0,45.0,76.0,100.0,100.0
36,44.0,46.0,41.0,79.0,98.0,100.0
37,37.0,38.0,46.0,71.0,100.0,100.0
38,37.0,41.0,44.0,73.0,100.0,100.0
39,38.0,37.0,36.0,68.0,100.0,100.0
40,34.0,34.0,42.0,66.0,100.0,100.0
41,32.0,36.0,38.0,70.0,100.0,100.0
42,31.0,35.0,30.0,68.0,100.0,100.0
43,33.0,33.0,32.0,59.0,99.0,100.0
44,28.0,29.0,31.0,68.0,100.0,98.0
45,30.0,31.0,31.0,69.0,100.0,100.0
46,25.0,30.0,31.0,62.0,100.0,100.0
47,23.0,30.0,26.0,54.0,100.0,100.0
48,24.0,27.0,31.0,63.0,100.0,100.0
49,25.0,32.0,31.0,60.0,99.0,100.0
50,24.0,28.0,23.0,62.0,99.0,99.0
51,23.0,26.0,24.0,58.0,100.0,100.0
52,20.0,27.0,26.0,56.0,100.0,100.0
53,23.0,27.0,24.0,58.0,99.0,99.0
54,23.0,24.0,27.0,53.0,99.0,100.0
55,22.0,22.0,27.0,53.0,100.0,100.0
56,22.0,21.0,26.0,53.0,98.0,99.0
57,22.0,23.0,22.0,60.0,99.0,100.0
58,21.0,22.0,23.0,53.0,99.0,100.0
59,19.0,24.0,22.0,46.0,100.0,99.0
60,20.0,20.0,25.0,54.0,99.0,100.0
61,21.0,21.0,21.0,50.0,99.0,100.0
62,21.0,23.0,22.0,48.0,98.0,100.0
63,18.0,20.0,19.0,50.0,98.0,100.0
64,18.0,22.0,19.0,53.0,99.0,100.0
65,18.0,19.0,17.0,48.0,100.0,100.0
66,17.0,20.0,18.0,50.0,97.0,100.0
67,17.0,21.0,21.0,47.0,98.0,100.0
68,19.0,18.0,18.0,42.0,95.0,100.0
69,16.0,21.0,18.0,45.0,93.0,98.0
70,20.0,18.0,17.0,45.0,89.0,100.0
71,17.0,20.0,18.0,41.0,94.0,99.0
72,14.0,16.0,18.0,44.0,95.0,100.0
73,18.0,20.0,21.0,47.0,92.0,99.0
74,15.0,17.0,17.0,44.0,94.0,100.0
75,15.0,16.0,17.0,45.0,90.0,100.0
76,16.0,18.0,16.0,45.0,87.0,100.0
77,16.0,19.0,16.0,40.0,88.0,99.0
78,16.0,16.0,16.0,42.0,89.0,100.0
79,16.0,16.0,18.0,42.0,89.0,99.0
80,17.0,15.0,16.0,37.0,91.0,100.0
81,17.0,17.0,17.0,42.0,96.0,100.0
82,15.0,17.0,16.0,42.0,93.0,100.0
83,14.0,16.0,14.0,37.0,84.0,100.0
84,16.0,17.0,17.0,43.0,76.0,100.0
85,16.0,17.0,16.0,41.0,84.0,100.0
86,16.0,16.0,16.0,42.0,84.0,100.0
87,15.0,17.0,15.0,44.0,87.0,100.0
88,13.0,15.0,18.0,43.0,82.0,100.0
89,15.0,17.0,17.0,41.0,80.0,100.0
90,16.0,15.0,16.0,44.0,82.0,99.0
91,15.0,16.0,15.0,41.0,75.0,100.0
92,14.0,14.0,17.0,40.0,83.0,100.0
93,15.0,16.0,15.0,41.0,76.0,100.0
94,14.0,16.0,16.0,37.0,86.0,100.0
95,14.0,17.0,16.0,39.0,81.0,100.0
96,14.0,17.0,16.0,41.0,75.0,100.0
97,15.0,14.0,17.0,43.0,71.0,100.0
98,14.0,16.0,15.0,41.0,65.0,100.0
99,14.0,16.0,14.0,39.0,73.0,100.0
100,13.0,15.0,16.0,38.0,66.0,100.0
101,14.0,17.0,16.0,42.0,75.0,99.0
102,14.0,16.0,16.0,40.0,73.0,99.0
103,14.0,17.0,16.0,37.0,68.0,100.0
104,14.0,14.0,17.0,37.0,75.0,99.0
105,14.0,14.0,16.0,39.0,67.0,100.0
106,13.0,15.0,15.0,36.0,65.0,100.0
107,15.0,15.0,14.0,38.0,67.0,99.0
108,14.0,17.0,15.0,41.0,72.0,100.0
109,15.0,18.0,16.0,38.0,67.0,100.0
110,14.0,17.0,18.0,38.0,67.0,100.0
111,13.0,14.0,14.0,37.0,65.0,100.0
112,16.0,16.0,15.0,37.0,63.0,99.0
113,14.0,14.0,15.0,36.0,63.0,100.0
114,13.0,15.0,14.0,37.0,61.0,100.0
115,13.0,17.0,15.0,39.0,61.0,100.0
116,13.0,15.0,15.0,39.0,62.0,99.0
