iteration,CAVI
0,54
1,68
2,75
3,76
4,84
5,84
6,84
7,87
8,85
9,85
10,81
11,85
12,86
13,85
14,82
15,83
16,85
17,82
18,85
19,86
20,85
21,89
22,85
23,87
24,82
25,89
26,86
27,88
28,83
29,86
30,87
31,83
32,88
33,85
34,88
35,87
36,85
37,82
38,86
39,82
40,84
41,87
42,90
43,86
44,89
45,85
46,86
47,87
48,85
49,90
50,81
51,84
52,89
53,85
54,87
55,83
56,87
57,85
58,86
59,86
60,84
61,84
62,85
63,90
64,82
65,87
66,85
67,85
68,89
69,88
70,86
71,88
72,88
73,86
74,87
75,86
76,89
77,91
78,87
79,88
80,85
81,84
82,86
83,90
84,89
85,86
86,84
87,91
88,88
89,87
90,87
91,88
92,91
93,89
94,87
95,88
96,88
97,86
98,87
99,86
100,86
101,87
102,86
103,89
104,87
105,88
106,91
107,89
108,88
109,86
110,86
111,89
112,88
113,85
114,87
115,88
116,87
117,86
118,88
119,89
120,89
121,86
122,88
123,88
124,88
125,86
126,89
127,86
128,90
129,89
130,85
131,88
132,86
133,86
134,87
135,88
136,89
137,86
138,87
139,84
140,88
141,86
142,86
143,89
144,89
145,86
146,87
147,86
148,86
149,90
150,88
151,87
152,88
153,89
154,87
155,86
156,84
157,87
158,89
159,88
160,86
161,88
162,87
163,87
164,86
165,87
166,89
167,86
168,85
169,86
170,86
171,87
172,92
173,88
174,87
175,86
176,85
177,88
178,86
179,87
180,88
181,88
182,86
183,85
184,86
185,88
186,86
187,87
188,84
189,88
190,84
191,83
192,86
193,83
194,89
195,87
196,85
197,87
198,84
199,89
200,88
201,88
202,85
203,88
204,87
205,90
206,89
207,87
208,87
209,88
210,85
211,89
212,88
213,87
214,88
215,89
216,88
217,88
218,91
219,88
220,91
221,88
222,88
223,87
224,89
225,89
226,87
227,87
228,90
229,88
230,89
231,87
232,88
233,88
234,87
235,92
236,88
237,88
238,88
239,90
240,86
241,89
242,87
243,89
244,89
245,88
246,87
247,87
248,89
249,91
250,87
251,90
252,89
253,88
254,88
255,86
256,89
257,89
258,89
259,90
260,86
261,89
262,90
263,87
264,88
265,90
266,86
267,88
268,87
269,85
270,87
271,87
272,84
273,86
274,86
275,88
276,88
277,87
278,88
279,86
280,86
281,86
282,85
283,86
284,89
285,87
286,89
287,84
288,87
289,84
290,88
291,88
292,89
293,86
294,86
295,88
296,87
297,87
298,86
299,87
300,86
301,86
302,84
303,87
304,88
305,87
306,87
307,88
308,89
309,85
310,88
311,87
312,89
313,86
314,88
315,86
316,90
317,86
318,89
319,91
320,88
321,86
322,87
323,87
324,86
325,87
326,88
327,86
328,89
329,90
330,88
331,88
332,88
333,89
334,85
335,86
336,87
337,89
338,91
339,93
340,89
341,90
342,89
343,87
344,90
345,86
346,89
347,90
348,86
349,87
350,89
351,88
352,88
353,86
354,87
355,86
356,88
357,87
358,88
359,89
360,92
361,87
362,87
363,88
364,87
365,88
366,88
367,88
368,88
369,87
370,86
371,89
372,88
373,89
374,89
375,89
376,89
377,89
378,90
379,89
380,90
381,90
382,89
383,90
384,88
385,88
386,90
387,91
388,89
389,87
390,91
391,89
392,89
393,89
394,90
395,91
396,87
397,88
398,88
399,90
400,90
401,88
402,91
403,89
404,88
405,90
406,90
407,89
408,87
409,90
410,92
411,89
412,87
413,88
414,90
415,86
416,88
417,87
418,88
419,88
420,86
421,86
422,88
423,87
424,88
425,89
426,89
427,86
428,84
429,84
430,91
431,88
432,88
433,85
434,83
435,89
436,89
437,89
438,88
439,87
440,83
441,88
442,86
443,86
444,87
445,86
446,88
447,87
448,88
449,88
450,87
451,89
452,90
453,89
454,93
455,87
456,91
457,87
458,89
459,88
460,89
461,89
462,90
463,87
464,88
465,88
466,90
467,87
468,89
469,91
470,90
471,88
472,90
473,85
474,88
475,89
476,89
477,90
478,89
479,86
480,89
481,88
482,90
483,89
484,88
485,90
486,90
487,89
488,89
489,91
490,89
491,91
492,92
493,91
494,90
495,90
496,90
497,89
498,90
499,89
