,0,1,2,3,4,5
0,980.0,977.0,984.0,975.0,977.0,944.0
1,980.0,982.0,980.0,982.0,978.0,917.0
2,980.0,978.0,987.0,983.0,981.0,891.0
3,978.0,982.0,976.0,984.0,977.0,892.0
4,975.0,979.0,979.0,977.0,985.0,892.0
5,978.0,972.0,979.0,980.0,980.0,937.0
6,973.0,973.0,977.0,981.0,974.0,893.0
7,975.0,976.0,969.0,980.0,982.0,916.0
8,972.0,972.0,976.0,966.0,979.0,897.0
9,969.0,965.0,955.0,969.0,983.0,909.0
10,956.0,958.0,959.0,957.0,983.0,919.0
11,957.0,958.0,950.0,968.0,975.0,944.0
12,935.0,940.0,947.0,947.0,978.0,915.0
13,922.0,939.0,933.0,939.0,982.0,921.0
14,905.0,910.0,910.0,927.0,980.0,910.0
15,907.0,888.0,897.0,937.0,977.0,895.0
16,878.0,880.0,880.0,923.0,973.0,910.0
17,853.0,857.0,850.0,896.0,969.0,906.0
18,820.0,842.0,831.0,886.0,975.0,938.0
19,828.0,805.0,804.0,861.0,981.0,908.0
20,771.0,789.0,798.0,861.0,982.0,900.0
21,749.0,739.0,748.0,833.0,983.0,856.0
22,738.0,713.0,735.0,824.0,980.0,878.0
23,687.0,685.0,703.0,844.0,980.0,889.0
24,671.0,690.0,664.0,788.0,976.0,901.0
25,666.0,660.0,641.0,772.0,977.0,926.0
26,643.0,598.0,637.0,775.0,981.0,902.0
27,580.0,585.0,600.0,740.0,974.0,879.0
28,547.0,558.0,554.0,715.0,981.0,885.0
29,545.0,530.0,525.0,692.0,974.0,930.0
30,514.0,498.0,523.0,662.0,975.0,935.0
31,483.0,497.0,501.0,653.0,971.0,928.0
32,469.0,494.0,466.0,614.0,970.0,876.0
33,452.0,441.0,443.0,618.0,976.0,892.0
34,437.0,417.0,427.0,601.0,979.0,941.0
35,389.0,411.0,414.0,591.0,970.0,886.0
36,389.0,385.0,392.0,553.0,977.0,953.0
37,387.0,372.0,384.0,542.0,969.0,943.0
38,363.0,354.0,368.0,532.0,978.0,912.0
39,360.0,343.0,349.0,510.0,977.0,923.0
40,325.0,323.0,337.0,497.0,982.0,924.0
41,334.0,331.0,330.0,471.0,979.0,920.0
42,311.0,316.0,336.0,460.0,973.0,843.0
43,298.0,289.0,310.0,444.0,970.0,893.0
44,297.0,299.0,306.0,416.0,965.0,888.0
45,282.0,291.0,291.0,424.0,975.0,886.0
46,285.0,278.0,278.0,415.0,976.0,882.0
47,275.0,269.0,283.0,403.0,966.0,934.0
48,265.0,259.0,264.0,381.0,968.0,880.0
49,256.0,250.0,258.0,382.0,958.0,907.0
50,258.0,245.0,253.0,362.0,967.0,921.0
51,247.0,252.0,252.0,354.0,958.0,936.0
52,243.0,229.0,249.0,357.0,955.0,926.0
53,243.0,233.0,231.0,332.0,972.0,922.0
54,213.0,237.0,233.0,342.0,963.0,927.0
55,220.0,247.0,227.0,334.0,950.0,914.0
56,235.0,214.0,226.0,309.0,936.0,925.0
57,224.0,219.0,232.0,308.0,937.0,946.0
58,215.0,209.0,217.0,288.0,929.0,931.0
59,206.0,206.0,229.0,291.0,932.0,931.0
60,205.0,209.0,225.0,287.0,947.0,904.0
61,200.0,218.0,220.0,286.0,928.0,947.0
62,201.0,200.0,201.0,290.0,921.0,947.0
63,196.0,215.0,204.0,284.0,923.0,872.0
64,186.0,202.0,203.0,275.0,908.0,901.0
65,191.0,196.0,207.0,254.0,910.0,900.0
66,199.0,203.0,198.0,277.0,898.0,929.0
67,192.0,188.0,204.0,262.0,891.0,934.0
