,0,1,2,3,4,5,6
0,100,100,100,100,100,100,54
10,100,100,100,100,100,100,68
20,100,100,100,100,100,99,75
30,99,100,99,100,99,100,76
40,100,100,100,100,100,100,84
50,100,100,99,100,100,100,84
60,100,99,100,100,99,100,84
70,100,99,100,98,99,99,87
80,99,100,100,100,100,100,85
90,100,100,100,100,100,100,85
100,99,99,100,100,100,100,81
110,100,99,98,100,100,100,85
120,100,100,99,100,99,100,86
130,97,100,99,99,100,100,85
140,99,98,99,100,100,100,82
150,95,96,99,100,100,100,83
160,97,98,93,96,99,99,85
170,95,98,94,100,100,99,82
180,92,98,97,100,99,100,85
190,96,91,92,96,99,99,86
200,90,90,89,93,99,100,85
210,90,81,88,97,99,100,89
220,86,75,88,95,100,100,85
230,79,78,82,96,100,100,87
240,83,73,73,91,99,100,82
250,70,78,77,93,100,99,89
260,73,75,72,91,100,100,86
270,74,74,65,95,100,100,88
280,61,65,61,88,100,100,83
290,56,64,69,88,100,99,86
300,55,56,65,89,99,100,87
310,54,52,61,89,100,100,83
320,53,50,53,83,100,99,88
330,46,44,45,74,99,100,85
340,45,44,50,81,100,99,88
350,41,45,45,76,100,100,87
360,44,46,41,79,98,100,85
370,37,38,46,71,100,100,82
380,37,41,44,73,100,100,86
390,38,37,36,68,100,100,82
400,34,34,42,66,100,100,84
410,32,36,38,70,100,100,87
420,31,35,30,68,100,100,90
430,33,33,32,59,99,100,86
440,28,29,31,68,100,98,89
450,30,31,31,69,100,100,85
460,25,30,31,62,100,100,86
470,23,30,26,54,100,100,87
480,24,27,31,63,100,100,85
490,25,32,31,60,99,100,90
500,24,28,23,62,99,99,81
510,23,26,24,58,100,100,84
520,20,27,26,56,100,100,89
530,23,27,24,58,99,99,85
540,23,24,27,53,99,100,87
550,22,22,27,53,100,100,83
560,22,21,26,53,98,99,87
570,22,23,22,60,99,100,85
580,21,22,23,53,99,100,86
590,19,24,22,46,100,99,86
600,20,20,25,54,99,100,84
610,21,21,21,50,99,100,84
620,21,23,22,48,98,100,85
630,18,20,19,50,98,100,90
640,18,22,19,53,99,100,82
650,18,19,17,48,100,100,87
660,17,20,18,50,97,100,85
670,17,21,21,47,98,100,85
680,19,18,18,42,95,100,89
690,16,21,18,45,93,98,88
700,20,18,17,45,89,100,86
710,17,20,18,41,94,99,88
720,14,16,18,44,95,100,88
730,18,20,21,47,92,99,86
740,15,17,17,44,94,100,87
750,15,16,17,45,90,100,86
760,16,18,16,45,87,100,89
770,16,19,16,40,88,99,91
780,16,16,16,42,89,100,87
790,16,16,18,42,89,99,88
800,17,15,16,37,91,100,85
810,17,17,17,42,96,100,84
820,15,17,16,42,93,100,86
830,14,16,14,37,84,100,90
840,16,17,17,43,76,100,89
850,16,17,16,41,84,100,86
860,16,16,16,42,84,100,84
870,15,17,15,44,87,100,91
880,13,15,18,43,82,100,88
890,15,17,17,41,80,100,87
900,16,15,16,44,82,99,87
910,15,16,15,41,75,100,88
920,14,14,17,40,83,100,91
930,15,16,15,41,76,100,89
940,14,16,16,37,86,100,87
950,14,17,16,39,81,100,88
960,14,17,16,41,75,100,88
970,15,14,17,43,71,100,86
980,14,16,15,41,65,100,87
990,14,16,14,39,73,100,86
1000,13,15,16,38,66,100,86
1010,14,17,16,42,75,99,87
1020,14,16,16,40,73,99,86
1030,14,17,16,37,68,100,89
1040,14,14,17,37,75,99,87
1050,14,14,16,39,67,100,88
1060,13,15,15,36,65,100,91
1070,15,15,14,38,67,99,89
1080,14,17,15,41,72,100,88
1090,15,18,16,38,67,100,86
1100,14,17,18,38,67,100,86
1110,13,14,14,37,65,100,89
1120,16,16,15,37,63,99,88
1130,14,14,15,36,63,100,85
1140,13,15,14,37,61,100,87
1150,13,17,15,39,61,100,88
1160,13,15,15,39,62,99,87
1170,14,18,15,43,59,100,86
1180,14,16,15,43,54,100,88
1190,14,17,16,40,59,100,89
1200,14,14,16,42,63,99,89
1210,14,16,17,40,61,100,86
1220,13,15,16,39,60,100,88
1230,14,16,16,38,61,99,88
1240,14,16,17,37,60,100,88
1250,15,15,15,39,58,100,86
1260,14,17,15,32,56,100,89
1270,14,16,17,37,62,100,86
1280,14,17,15,34,62,100,90
1290,13,15,15,35,55,99,89
1300,14,15,16,37,57,100,85
1310,16,15,16,36,54,100,88
1320,13,16,16,39,58,100,86
1330,14,16,16,36,67,100,86
1340,14,17,16,36,63,100,87
1350,14,16,16,35,56,100,88
1360,13,15,14,38,54,100,89
