,0,1,2,3,4,5
0,65577216.91,43831928,42923748,29662582,60197380,61028152
1,71032368.35,44444556,43313908,30191030,61343452,62072636
2,71514766.88,44285228,44351656,28511486,62147196,61617520
3,71700910.38,46701200,40749712,30826912,57772608,65503960
4,73966486.78,44365044,44769792,29611774,63308000,61665844
5,70602428.3,45407620,44803364,30549706,63935508,63564156
6,69931379.4,43847920,43671736,28567444,62040700,61337380
7,71895356.62,46609116,42965320,30765878,61176040,65502428
8,71843436.79,45674968,42198408,30756322,59242256,64122816
9,72585005.38,47008212,42554888,31403450,60490328,65867700
10,66146506.32,45032892,42306612,30807226,60007996,63191728
11,67696520.18,43941456,43308040,29770656,62010448,61873688
12,74376268.8,43213596,41666924,28632132,58878724,60655116
13,69975257.34,44961072,42869004,30574170,61012200,63152284
14,71674539.67,44604144,45871004,29918902,65650496,62905084
15,65718344.26,46559352,42211344,31336380,59960988,65889424
16,68733306.68,42973504,41640656,28896618,59652588,60509364
17,72753056.69,44215388,40499168,29575890,57500004,62429904
18,69509860.28,44846184,41577832,30682796,59048020,63395404
19,73452014.42,42881464,43256404,29770914,62079556,60598304
20,70624916.79,45040148,42746252,30222596,61180928,63750792
21,70788621.87,42696996,42239756,27962248,60773448,60406404
22,70111303.65,44834736,43251768,30127312,61910648,63440420
23,72311842.12,44253568,41419056,29230570,59141604,62919084
24,70088605.2,41822092,42342204,27709572,60932420,59710096
25,72695332.86,43470956,42487692,30241200,61282080,61987796
26,66869442.3,42548124,43938928,28719916,63472440,60701076
27,65567510.63,43132584,43161424,29492442,62444556,61791336
28,67791770.09,43643308,41211208,29166186,59645156,62495420
29,68583496.95,44824132,42309580,30955260,61488596,64111876
30,72262146.07,42989468,41895336,29000050,61551232,61674736
31,70421874.33,42792396,42202676,29653374,61456068,61018184
32,67886717.78,42425768,40137128,29223226,57851428,60648948
33,71493202.4,42805776,40862056,29048502,59723412,61570932
34,69734172.86,45120532,42848364,31270558,62188612,65503488
35,74570278.02,43757408,41308556,29472034,60707040,63002720
36,69615647.1,42887452,39282320,28989818,57253840,61785904
37,73877084.17,42691848,43950780,28452708,64675296,61638004
38,71032643.64,45037168,41866628,31253076,61447196,64867380
39,71747479.09,43736512,42060316,29688122,61733196,63197376
40,67527020.33,43211712,42498980,29363344,61944920,62637144
41,66559700.17,42323432,43098192,28703406,63353768,60832012
42,67269039.51,45128836,43810032,31466120,64805584,65518128
43,70335508.11,45239496,41896232,31064040,61550872,65877584
44,67630257.56,43085424,42125624,29030832,62181788,62349080
45,66268138.02,42489396,42772812,28606566,62663116,61441616
46,68587524.51,42538300,41549764,29259102,61351196,61718196
47,68850197.66,42328620,40705488,28920284,60034356,61724480
48,71551443.43,41344532,39344296,28510152,58821464,60257224
49,65762324,43825544,39746564,29426250,58700352,63920356
50,70071520.38,43376216,40495816,29797724,59271384,63466188
51,65379383.57,42033340,41855716,28618436,62280352,61475784
52,71124013.51,40420828,39658960,26232006,58919728,59116740
53,70371626.96,40847324,40474508,27903226,59995080,59817168
54,65288524.08,42765140,41437828,28712364,61766280,62806948
55,68659751.32,44246388,40813448,30725488,60797820,65305584
56,67740274.36,42502564,39570340,28375796,59675464,62464804
57,69927280.96,44668668,40450220,30981666,60546788,66306400
